RESPONSES,LEVEL KOMPETENSI
"Integritas; Konflik kepentingan muncul pada saat terjadinya pertentangan antara pelaksanaan tugas dan kepentingan pribadi yang mempengaruhi keputusan yang akan dibuat dan jika hal ini tidak ditangani dengan baik dapat berujung pelanggaran etika, administratif, bahkan pidana.   Oleh karena itu, dalam menghadapi terjadinya konflik kepentingan, saat ini hal yang dilakukan adalah berusaha untuk mencegah dengan menghindari atau membatasi sumber sumber konflik kepentingan, diantaranya  Menghindari melakukan pekerjaan di luar pekerjaan saat ini. Membatasi atau menghindari kepemilikan aset pada perusahaan yang dapat terkait dengan pelaksanaan tugas jabatan. Menghindari dan membatasi diri berinteraksi langsung dengan pihak pihak terkait yang dilarang oleh kode etik dan perundangan atau berpotensi dapat dipersepsikan konflik kepentingan oleh publik. Menghindari rangkap jabatan. Membatasi dan mengurangi kepentingan pribadi yang dapat mempengaruhi pelaksanaan tugas. Mendorong perbaikan sistem pengelolaan konflik kepentingan di instansi untuk menutup celah pelanggaran terhadap aturan kebijakan konflik kepentingan.   Jikapun terjadi konflik kepentingan, yang dilakukan antara lain  Melaporkan konflik kepentingan yang dihadapi sesuai dengan ketentuan dan proses yang berlaku di organisasi. Memberitahukan kepada atasan sebelum bertindak jika terdapat risiko terjadinya konflik kepentingan. Membatasi akses informasi atau menarik diri dari kegiatan yang sedang berlangsung. Menghindari pengambilan keputusan.",3
"Integritas; Untuk mewujudkan organisasi yang kuat, maka setiap anggotanya wajib mematuhi segala aturan dan etika yang ada di organisasi tersebut. Dengan mematuhinya, maka agenda organisasi akan berjalan dengan lancar dan sesuai target, sesuai program kerja, karena setiap anggotanya berupaya untuk menciptakan suasana yang kondusif di dalam organisasi.   Hal hal yang dilakukan dalam upaya lebih mengoptimalkan penerapan kepatuhan terhadap aturan dan norma di antara rekan kerja atau organisasi, diantaranya  saling menghargai dan memberi rasa hormat. berkomunikasi secara terbuka. saling memberikan contoh yang baik. saling memberikan kepercayaan. mendorong kepada seluruh pegawai untuk senantiasa mengikuti pelatihan yang berkualitas.",3
Integritas; Sejauh ini belum ada target kinerja yang direncanakan sesuai tugas dan fungsi yang tidak tercapai.,3
"Integritas; Conflict of interest akan selalu ada dalam sebuah organisasi. Ego jabatan, tingkat pendidikan, usia dan pengalaman kerja, budaya, karakteristik individu, kompetisi ambisi dan cara kerja, masalah keuangan adalah beberapa sumber conflict of interest dalam sebuah organisasi. Sebagai contoh ada seorang pegawai yang sudah lama bekerja dan sedang bermasalah dengan keuangan sedangkan posisinya adalah di bagian yang mengelola keuangan. Cara menghadapi dengan tanpa harus menyinggung perasaan orang tersebut  Kita cari informasi tentang pegawai melalui orang pegawa atasan terdekat Komunikasi dengannya untuk mencari tahu karakteristik dan ternyata dalam kinerja dia cukup baik Setelah mengetahui data informasi tentang pegawai tersebut, kita rotasi pegawai tersebut kepada posisi dimana pekerjaannya tetap similar keuangan tetapi tidak mengurusi secara langsung keuangan dan dia tetap mendapatkan tunjangan keuangan yang memadai untuk mengurangi permasalahan keuangan nya. ",3
Integritas; Apabila berbicara kepatuhan organisasi tidak ada yang kurang karena organisasi harus berjalan sesuai dengan tugas dan fungsinya serta menjalankan program dan kegiatan yang sudah direncanakan. Tetapi apabila berbicara tentang kepatuhan terhadap aturan dan norma dari pegawai masih ada yang masih harus dibenahi dan ditingkatkan. Sebagai contoh adalah kehadiran pegawai sesuai waktu yang ditetapkan. Masih ada saja pegawai yang hadir tidak tepat waktu atau tidak hadir dengan alasan yang tidak jelas. Yang dilakukan adalah  Pembinaan kepegawaian melalui apel atau breifing Penggalian informasi tentang pegawai yang bermasalah dengan kemungkinan alasannya Pemanggilan terhadap yang bersangkutan secara langsung untuk berkomunikasi dan berdiskusi mencari solusi Penerapan aturan teguran dan punishment apabila pegawai tersebut tidak berubah ,3
"Integritas; Pengalaman ini ketika saya baru diterima sebagai CPNS dan berstatus staf pelaksana Sub Bidang Penagihan di Dinas Pendapatan Kabupaten Ciamis pada tahun 2002. Permasalahannya, ketika itu saya adalah sebagai owner sekaligus manager dan personil band profesional di Jogjakarta, masalah yang timbul saya masih terikat kontrak dengan beberapa hotel hotel di jogjakarta sampai akhir tahun 2002, dan artinya saya harus punya tanggung jawab untuk menyelesaikan kontrak tersebut sedangkan saya sudah diangkat menjadi CPNS. Yang dihadapi oleh saya saat itu, adalah bagaimana saya mencari solusi yang terbaik antara saya sudah menjadi CPNS dengan tugas sebagai pelaksana penagihan pajak dan retribusi di Dinas Pendapatan tersebut dan ikatan kontrak pribadi yang harus di selesaikan sebagai usaha entertain di Jogyakarta.  Saya lakukan pertama kesatu   1   adalah menyampaikan informasi ke mitra mitra yang mengikat saya dengan kontrak untuk konfirmasi bahwa saya diterima sebagai CPNS di Kabupaten Ciams, dan suatu hal yang normatif  ikatan perjanjian yang tertuang dalam kontrak adalah mempunyai kekuatan hukum, artinya permasalahan yang muncul pada saat itu adalah menyelesaikan kontrak. Selanjutnya langkah kedua yang saya lakukan adalah saya menyampaikan kondisi pelik tersebut secara langsung kepada atasan yaitu Kepala Dinas Pendapatan, dengan pola komunikasi dengan pendekatan sikap menyampaikan kondisi yang sebenarnya, Kepala Dinas memberikan arahan dan nasehat. Dan arahan itu tidak menguntungkan bagi saya secara pribadi, karena saya harus memutuskan kontrak tersebut, padahal saya punya beban tanggung jawab terhadap kontrak tersebut. Dan langkah ketiga   3   adalah terus membangun komunikasi dan koordinasi dengan pihak Jogjakarta dan Kepala Dinas, yang akhirnya menemui solusi penyelesaian masalah yang mana baik saya, mitra saya di jogjakarta dan tugas tugas saya di Dipenda ketika itu adanya keselarasan dalam kesepakatan yang nyaman bagi semua pihak.",2
"Integritas; Sering terjadi di lingkungan kerja khususnya di tempat kerja yang saya duduki, ketika saya melihat rekan kerja di satu institusi masih ada hal hal yang secara aturan dan norma belum optimal, baik terkait disiplin kinerja ataupun perilaku personal yang tidak membuat nyaman di lingkungan kerja.  Sikap yang lakukan   Contoh Masalah kesatu  1 , terkait dispilin kinerja dalam penyelesaian pertanggungjawaban kegiatan yang ditunda tunda, bagi saya hal tersebut adalah suatu yang sangat mengganggu terhadap tata kelola administrasi. Dalam kasus ini saya menyikapi nya sebagai sekretaris melakukan pendekatan pendekatan personal terlebih dahulu untuk mencari informasi kenapa dan alasan apa yang menyebabkan hal tersebut terjadi. Selanjutnya saya memberikan arahan dan mencari solusi penyelasainnya ketika ada kesulitan dalam pertanggungjawaban tersebut. Contoh Masalah kedua  2 , terkait norma perilaku personal pegawai yang secara adab  menyebabkan gangguan terhadap lingkungan kerja, misalnya pegawai yang tidak ada sopan santun terhadap rekan kerja. Hal yang sikapi adalah saya berusaha menjadi tauladan bagi lingkungan kerja, saya mencoba untuk tidak memandang siapapun pegawai tersebut untuk masuk di tengah tengah pergaualan nya. Saya membawa misi untuk merubah karakter buruk seseorang dengan pola dari diri saya terlebih dahulu untuk bisa memberikan energi positif bagi lingkungan kerja.  ",2
"Integritas; Pada saat menghadapi koflik antara kepentingan pribadi dan pekerjaan lebih mengutamakan pekerjaan dahulu, sementara pribadi dapat kita atasi dengan menenangkan dalam meredam kepentingan karena masalah pekerjaan akan menyangkut terhadap kepentingan secara umum. ",1
"Integritas; Penerapan kepatuhan terhadap aturan dan norman rekan kerja atau organisasi terkadang kita juga merasa dalam penerapan kepatuhan terhadap aturan, baik rekan kerja atau organisasi terkadang kita juga merasa dalam penerapan keputusan terhadap aturan baik rekan kerja dan organisasi adakalnya kita di buat dileman antara rekan kerja dan kita hadapi tetap berkomunikasi dengan rekan kerja atau diskusi dengan rekan kerja, artinya kita dalam menerapkan aturan tersebut harus bisa kita bedakan  mana yang dinamakan dengan aturan mana yang dapat kita kerjakan sebagai rekan kerja karena apabila kita tidak mengkordinasikan nya itu akan salah penerapan dan akan berdampak terhadap kinerja dan loyalitas kerja.  ",1
"Integritas; Situasi pada saat mendapatkan promosi ada salah satu rekan kerja yang lebih senior merasa tersaingi dan mengekspresikan rasa kecewanya dengan bergosip. Saya menghadapainya dengan keyakinan bahwa promosi yang saya peroleh karena prestasi kerja. Adapun yang saya lakukan pada saat itu tetap menjaga hubungan baik dengannya, dengan tidak merespon gosip yang tersebar.",2
