INISIAL ,RESPON,LEVEL KOMPETENSI,English,Summaries
AM,Konflik kepentingan muncul pada saat terjadinya pertentangan antara pelaksanaan tugas dan kepentingan pribadi yang mempengaruhi keputusan yang akan dibuat dan jika hal ini tidak ditangani dengan baik dapat berujung pelanggaran etika  administratif  bahkan pidana    Oleh karena itu  dalam menghadapi terjadinya konflik kepentingan  saat ini hal yang dilakukan adalah berusaha untuk mencegah dengan menghindari atau membatasi sumber sumber konflik kepentingan  diantaranya  o Menghindari melakukan pekerjaan di luar pekerjaan saat ini  o Membatasi atau menghindari kepemilikan aset pada perusahaan yang dapat terkait dengan pelaksanaan tugas jabatan  o Menghindari dan membatasi diri berinteraksi langsung dengan pihak pihak terkait yang dilarang oleh kode etik dan perundangan atau berpotensi dapat dipersepsikan konflik kepentingan oleh publik  o Menghindari rangkap jabatan  o Membatasi dan mengurangi kepentingan pribadi yang dapat mempengaruhi pelaksanaan tugas  o Mendorong perbaikan sistem pengelolaan konflik kepentingan di instansi untuk menutup celah pelanggaran terhadap aturan kebijakan konflik kepentingan    Jikapun terjadi konflik kepentingan  yang dilakukan antara lain  o Melaporkan konflik kepentingan yang dihadapi sesuai dengan ketentuan dan proses yang berlaku di organisasi  o Memberitahukan kepada atasan sebelum bertindak jika terdapat risiko terjadinya konflik kepentingan  o Membatasi akses informasi atau menarik diri dari kegiatan yang sedang berlangsung  o Menghindari pengambilan keputusan ,3,"conflicts of interest arise when there is a conflict between the performance of duties and personal interests which influence decisions to be made and if this is not handled properly it can lead to violations of administrative ethics and even criminal penalties. therefore, in dealing with conflicts of interest at this time, what is being done is trying to prevent by avoiding or limiting sources of conflict of interest including o avoiding doing work outside of your current job o limiting or avoiding ownership of assets in the company that could be related to the implementation of job duties o avoiding and limiting yourself from interacting directly with related parties which is prohibited by the code of ethics and legislation or have the potential to be perceived as a conflict of interest by the public o avoid holding multiple positions o limit and reduce personal interests that can influence the implementation of duties o encourage improvements to the conflict of interest management system in the agency to close gaps in violations of conflict of interest policy rules if there is a conflict of interest between other o reporting conflicts of interest encountered in accordance with the provisions and processes applicable in the organization o notifying superiors before acting if there is a risk of a conflict of interest o limiting access to information or withdrawing from ongoing activities o avoiding decision making",conflicts of interest arise when there is a conflict between the performance of duties and personal interests.
AM,Untuk mewujudkan organisasi yang kuat  maka setiap anggotanya wajib mematuhi segala aturan dan etika yang ada di organisasi tersebut  Dengan mematuhinya  maka agenda organisasi akan berjalan dengan lancar dan sesuai target  sesuai program kerja  karena setiap anggotanya berupaya untuk menciptakan suasana yang kondusif di dalam organisasi    Hal hal yang dilakukan dalam upaya lebih mengoptimalkan penerapan kepatuhan terhadap aturan dan norma di antara rekan kerja atau organisasi  diantaranya  o saling menghargai dan memberi rasa hormat  o berkomunikasi secara terbuka  o saling memberikan contoh yang baik  o saling memberikan kepercayaan  o mendorong kepada seluruh pegawai untuk senantiasa mengikuti pelatihan yang berkualitas ,3,"to create a strong organization, each member is obliged to comply with all the rules and ethics that exist in the organization. by complying with them, the organization's agenda will run smoothly and according to targets according to the work program because each member strives to create a conducive atmosphere within the organization. things to do in an effort to further optimize the implementation of compliance with rules and norms among co-workers or organizations including o respecting and giving each other respect o communicating openly o giving each other a good example o giving each other trust o encouraging all employees to always take part in quality training","to create a strong organization, each member is obliged to comply with all the rules and ethics."
AM,Sejauh ini belum ada target kinerja yang direncanakan sesuai tugas dan fungsi yang tidak tercapai ,3,so far there have been no planned performance targets according to tasks and functions that have not been achieved,so far there have been no planned performance targets according to tasks and functions that have not been achieved.
DW,Conflict of interest akan selalu ada dalam sebuah organisasi  Ego jabatan  tingkat pendidikan  usia dan pengalaman kerja  budaya  karakteristik individu  kompetisi ambisi dan cara kerja  masalah keuangan adalah beberapa sumber conflict of interest dalam sebuah organisasi  Sebagai contoh ada seorang pegawai yang sudah lama bekerja dan sedang bermasalah dengan keuangan sedangkan posisinya adalah di bagian yang mengelola keuangan  Cara menghadapi dengan tanpa harus menyinggung perasaan orang tersebut  Kita cari informasi tentang pegawai melalui orang pegawa atasan terdekat Komunikasi dengannya untuk mencari tahu karakteristik dan ternyata dalam kinerja dia cukup baik Setelah mengetahui data informasi tentang pegawai tersebut  kita rotasi pegawai tersebut kepada posisi dimana pekerjaannya tetap similar keuangan tetapi tidak mengurusi secara langsung keuangan dan dia tetap mendapatkan tunjangan keuangan yang memadai untuk mengurangi permasalahan keuangan nya  ,3,"conflict of interest will always exist in an organization ego, position, level of education, age and work experience, culture, individual characteristics, competition, ambition and how things work, financial issues are several sources of conflict of interest in an organization. for example, there is an employee who has worked for a long time and is having financial problems. while the position is in the section that manages finances. how to deal with it without offending the person's feelings. we look for information about the employee through the closest superior employee. communicate with him to find out the characteristics and it turns out that his performance is quite good. after knowing the information about the employee, we rotate the employee. this is a position where the job is still similar to finance but does not deal directly with finances and he still gets adequate financial benefits to reduce his financial problems",financial issues are several sources of conflict of interest in an organization.
DW,Apabila berbicara kepatuhan organisasi tidak ada yang kurang karena organisasi harus berjalan sesuai dengan tugas dan fungsinya serta menjalankan program dan kegiatan yang sudah direncanakan  Tetapi apabila berbicara tentang kepatuhan terhadap aturan dan norma dari pegawai masih ada yang masih harus dibenahi dan ditingkatkan  Sebagai contoh adalah kehadiran pegawai sesuai waktu yang ditetapkan  Masih ada saja pegawai yang hadir tidak tepat waktu atau tidak hadir dengan alasan yang tidak jelas  Yang dilakukan adalah  Pembinaan kepegawaian melalui apel atau breifing Penggalian informasi tentang pegawai yang bermasalah dengan kemungkinan alasannya Pemanggilan terhadap yang bersangkutan secara langsung untuk berkomunikasi dan berdiskusi mencari solusi Penerapan aturan teguran dan punishment apabila pegawai tersebut tidak berubah ,3,"when talking about organizational compliance, there is nothing lacking because the organization must run according to its duties and functions and carry out programs and activities that have been planned. however, when talking about compliance with rules and norms from employees, there are still things that need to be addressed and improved. for example, employee attendance is appropriate. appointed time. there are still employees who are not present on time or are not present for unclear reasons. what is being done is staff development through calls or briefings. extracting information about employees who have problems with possible reasons. calling the person concerned directly to communicate and discuss finding a solution. application of warning and punishment rules if the employee does not change",there are still employees who are not present on time or are not present for unclear reasons.
DFYM,Pengalaman ini ketika saya baru diterima sebagai CPNS dan berstatus staf pelaksana Sub Bidang Penagihan di Dinas Pendapatan Kabupaten Ciamis pada tahun 2002  Permasalahannya  ketika itu saya adalah sebagai owner sekaligus manager dan personil band profesional di Jogjakarta  masalah yang timbul saya masih terikat kontrak dengan beberapa hotel hotel di jogjakarta sampai akhir tahun 2002  dan artinya saya harus punya tanggung jawab untuk menyelesaikan kontrak tersebut sedangkan saya sudah diangkat menjadi CPNS  Yang dihadapi oleh saya saat itu  adalah bagaimana saya mencari solusi yang terbaik antara saya sudah menjadi CPNS dengan tugas sebagai pelaksana penagihan pajak dan retribusi di Dinas Pendapatan tersebut dan ikatan kontrak pribadi yang harus di selesaikan sebagai usaha entertain di Jogyakarta   Saya lakukan pertama kesatu   1   adalah menyampaikan informasi ke mitra mitra yang mengikat saya dengan kontrak untuk konfirmasi bahwa saya diterima sebagai CPNS di Kabupaten Ciams  dan suatu hal yang normatif  ikatan perjanjian yang tertuang dalam kontrak adalah mempunyai kekuatan hukum  artinya permasalahan yang muncul pada saat itu adalah menyelesaikan kontrak  Selanjutnya langkah kedua yang saya lakukan adalah saya menyampaikan kondisi pelik tersebut secara langsung kepada atasan yaitu Kepala Dinas Pendapatan  dengan pola komunikasi dengan pendekatan sikap menyampaikan kondisi yang sebenarnya  Kepala Dinas memberikan arahan dan nasehat  Dan arahan itu tidak menguntungkan bagi saya secara pribadi  karena saya harus memutuskan kontrak tersebut  padahal saya punya beban tanggung jawab terhadap kontrak tersebut  Dan langkah ketiga   3   adalah terus membangun komunikasi dan koordinasi dengan pihak Jogjakarta dan Kepala Dinas  yang akhirnya menemui solusi penyelesaian masalah yang mana baik saya  mitra saya di jogjakarta dan tugas tugas saya di Dipenda ketika itu adanya keselarasan dalam kesepakatan yang nyaman bagi semua pihak ,2,"this experience was when i was just accepted as a cpns and had the status of implementing staff in the billing sub division at the ciamis regency revenue service in 2002. the problem at that time was that i was the owner and manager and member of a professional band in jogjakarta. the problem that arose was that i was still under contract with several hotels in jogjakarta until the end of 2002 and that means i have to have the responsibility to complete the contract while i have been appointed as a cpns. what i faced at that time was how i would find the best solution between me having become a cpns with the task of implementing tax and levy collection at the department. this income and personal contractual ties that must be completed as an entertainment business in jogyakarta. the first thing i did was convey information to the partners who bound me with a contract to confirm that i was accepted as a cpns in ciams regency and a normative agreement was stated. in a contract, it has legal force, meaning that the problem that arises at that time is completing the contract. next, the second step i took was that i conveyed the complicated condition directly to the superior, namely the head of the revenue service, using a communication pattern with an attitude approach to convey the actual condition. the head of the service gave directions. and the advice and direction was not beneficial for me personally because i had to terminate the contract even though i had the burden of responsibility for the contract. and the third step 3 was to continue to build communication and coordination with jogjakarta and the head of service which finally found a solution to the problem which was well, i am my partner in jogjakarta and my duties in dipenda at that time there was harmony in an agreement that was comfortable for all parties",this experience was when i was just accepted as a cpns in ciamis regency revenue service.
DFYM,Sering terjadi di lingkungan kerja khususnya di tempat kerja yang saya duduki  ketika saya melihat rekan kerja di satu institusi masih ada hal hal yang secara aturan dan norma belum optimal  baik terkait disiplin kinerja ataupun perilaku personal yang tidak membuat nyaman di lingkungan kerja   Sikap yang lakukan   Contoh Masalah kesatu  1   terkait dispilin kinerja dalam penyelesaian pertanggungjawaban kegiatan yang ditunda tunda  bagi saya hal tersebut adalah suatu yang sangat mengganggu terhadap tata kelola administrasi  Dalam kasus ini saya menyikapi nya sebagai sekretaris melakukan pendekatan pendekatan personal terlebih dahulu untuk mencari informasi kenapa dan alasan apa yang menyebabkan hal tersebut terjadi  Selanjutnya saya memberikan arahan dan mencari solusi penyelasainnya ketika ada kesulitan dalam pertanggungjawaban tersebut  Contoh Masalah kedua  2   terkait norma perilaku personal pegawai yang secara adab  menyebabkan gangguan terhadap lingkungan kerja  misalnya pegawai yang tidak ada sopan santun terhadap rekan kerja  Hal yang sikapi adalah saya berusaha menjadi tauladan bagi lingkungan kerja  saya mencoba untuk tidak memandang siapapun pegawai tersebut untuk masuk di tengah tengah pergaualan nya  Saya membawa misi untuk merubah karakter buruk seseorang dengan pola dari diri saya terlebih dahulu untuk bisa memberikan energi positif bagi lingkungan kerja   ,2,"it often happens in the work environment, especially in the workplace that i occupy, when i see that colleagues at one institution still have things that are not optimal according to the rules and norms, whether related to performance discipline or personal behavior that does not make them comfortable in the work environment. attitudes that occur. examples of problems. the first 1 is related to performance discipline in resolving accountability for postponed activities. for me, this is something that is very disturbing to administrative governance. in this case, i responded as a secretary, taking a personal approach first to find information about why and what reasons caused this. happens. next, i give directions and look for solutions when there are difficulties in accountability. example of the second problem 2 related to employee personal behavior norms which in a civil manner cause disruption to the work environment, for example employees who have no manners towards colleagues. the thing that is addressed is that i try to be a role model. for the work environment, i try not to look at any employee to get in the middle of their interactions. i carry a mission to change someone's bad character with my own pattern first to be able to provide positive energy for the work environment.","it often happens in the work environment, especially in the workplace that i occupy, when i see that colleagues at one institution still have things that are not optimal."
DIS,Pada saat menghadapi koflik antara kepentingan pribadi dan pekerjaan lebih mengutamakan pekerjaan dahulu  sementara pribadi dapat kita atasi dengan menenangkan dalam meredam kepentingan karena masalah pekerjaan akan menyangkut terhadap kepentingan secara umum  ,1,"when facing a conflict between personal interests and work, we prioritize work first, while we can overcome personal interests by calming down interests because work problems will relate to general interests.","when facing a conflict between personal interests and work, we prioritize work first."
DIS,Penerapan kepatuhan terhadap aturan dan norman rekan kerja atau organisasi terkadang kita juga merasa dalam penerapan kepatuhan terhadap aturan  baik rekan kerja atau organisasi terkadang kita juga merasa dalam penerapan keputusan terhadap aturan baik rekan kerja dan organisasi adakalnya kita di buat dileman antara rekan kerja dan kita hadapi tetap berkomunikasi dengan rekan kerja atau diskusi dengan rekan kerja  artinya kita dalam menerapkan aturan tersebut harus bisa kita bedakan  mana yang dinamakan dengan aturan mana yang dapat kita kerjakan sebagai rekan kerja karena apabila kita tidak mengkordinasikan nya itu akan salah penerapan dan akan berdampak terhadap kinerja dan loyalitas kerja   ,1,"implementing compliance with the rules and norms of co-workers or the organization, sometimes we also feel that in implementing compliance with the rules of both co-workers or the organization, sometimes we also feel that in implementing decisions against the rules of both co-workers and the organization, sometimes we are put in a dilemma between co-workers and we still face it. communicating with co-workers or discussing with co-workers means that when we apply these rules we have to be able to distinguish which rules are called which ones we can work with as co-workers because if we don't coordinate them it will be misapplied and will have an impact on work performance and loyalty.",implementing compliance with the rules and norms of co-workers or the organization.
ES,Situasi pada saat mendapatkan promosi ada salah satu rekan kerja yang lebih senior merasa tersaingi dan mengekspresikan rasa kecewanya dengan bergosip  Saya menghadapainya dengan keyakinan bahwa promosi yang saya peroleh karena prestasi kerja  Adapun yang saya lakukan pada saat itu tetap menjaga hubungan baik dengannya  dengan tidak merespon gosip yang tersebar ,2,the situation when i got a promotion was that one of my more senior colleagues felt competitive and expressed his disappointment by gossiping. i faced it with the belief that the promotion i got was because of my work performance. what i did at that time was to maintain a good relationship with him by not responding to gossip. spread,i faced it with the belief that the promotion i got was because of my work performance.
